optimizer,size,chinchilla,loss_min,loss_baseline,n_ablations,loss_ablation_median,loss_ablation_worst
scion,130m,1,3.4737958908081055,3.4766781330108643,30,3.4888782501220703,6.308431148529053
scion,130m,2,3.377504587173462,3.3785014152526855,30,3.387878894805908,6.192693710327148
scion,130m,4,3.3015458583831787,3.3017358779907227,30,3.306926131248474,5.893826007843018
scion,130m,8,3.245243549346924,3.246260643005371,30,3.251798629760742,6.173503398895264
scion,300m,1,3.231102705001831,3.232110500335694,30,3.241164207458496,5.626926422119141
scion,300m,2,3.1498725414276123,3.1516470909118652,2,3.1533507108688354,3.1540799140930176
scion,300m,4,3.085658073425293,3.0955305099487305,1,3.085716724395752,3.085716724395752
scion,300m,8,3.0366275310516357,3.0386765003204346,2,3.046720027923584,3.056812524795532
scion,520m,1,3.0794055461883545,3.080237865447998,30,3.0905556678771973,7.334897994995117
scion,520m,2,3.0067803859710693,3.0067803859710693,2,3.0176427364349365,3.020345449447632
scion,520m,4,2.950742483139038,2.951536178588867,2,2.960752844810486,2.969716787338257
scion,520m,8,2.904153823852539,2.904153823852539,2,2.913119316101074,2.9134862422943115
soape,1.2b,1,2.897803783416748,2.94049334526062,0,,
soape,1.2b,2,2.8293275833129883,2.8293275833129883,0,,
soape,1.2b,4,2.782505750656128,2.782505750656128,0,,
soape,1.2b,8,2.7485294342041016,2.7485294342041016,0,,
soape,130m,1,3.4821648597717285,3.4834887981414795,21,3.4911434650421143,4.867911338806152
soape,130m,2,3.374239921569824,,1,3.381349563598633,3.381349563598633
soape,130m,4,3.294482469558716,,0,,
soape,130m,8,3.2374308109283447,3.238661766052246,21,3.2423806190490723,3.3076205253601074
soape,130m,16,3.1911556720733643,3.1911556720733643,0,,
soape,300m,1,3.230889797210694,3.230889797210694,21,3.2386908531188965,5.55920934677124
soape,300m,2,3.147433280944824,3.147433280944824,4,3.151732921600342,3.154287099838257
soape,300m,4,3.082421064376831,3.083911895751953,4,3.0860769748687744,3.0912067890167236
soape,300m,8,3.0301599502563477,3.0301599502563477,4,3.0328969955444336,3.042992353439331
soape,300m,16,2.9896833896636963,2.9896833896636963,0,,
soape,520m,1,3.0788798332214355,3.0788798332214355,21,3.0965120792388916,6.105731964111328
soape,520m,2,3.0036733150482178,3.0036733150482178,4,3.010592222213745,3.012703657150269
soape,520m,4,2.944326400756836,2.944326400756836,4,2.9471287727355957,2.9487318992614746
soape,520m,8,2.8988614082336426,2.8988614082336426,1,2.9057538509368896,2.9057538509368896
sophia,130m,1,3.5440285205841064,3.5440285205841064,22,3.5644315481185913,7.824465274810791
sophia,130m,2,3.413950681686402,3.413950681686402,23,3.4256157875061035,7.81080961227417
sophia,130m,4,3.3275668621063232,3.329803943634033,21,3.3378849029541016,7.345368385314941
sophia,130m,8,3.2589638233184814,3.25943374633789,13,3.2654714584350586,3.3078272342681885
sophia,300m,1,3.267392158508301,3.267392158508301,23,3.2881059646606445,7.524826049804688
sophia,520m,1,3.105455160140991,3.1056277751922607,16,3.1158682107925415,6.939915180206299
